ADDRESS,AGREEMENT_TYPE,AIR_CONDITIONING,APPLIANCE,BATHROOM_NB,BEDROOM_NB,BUILDING_AMENITIES,COLLECTED_DATE,FURNISHED,LOCATION,MOVING_DATE,PARKING,PERSONAL_OUTDOOR_SPACE,PET_FRIENDLY,PRICE,SMOKING_PERMITTED,TELECOM,TYPE,UNIT_SIZE,UTILITIES,WEB_LINK
"H3X1E5, Canada",1 Year,No,"Laundry (In Building),Fridge / Freezer",Bathrooms: 1,Bedrooms: 1,"Concierge,24 Hour Security",12/07/2021 11:51:28,Yes,"{'Type': 'Point', 'Coordinates': ['-73.6458', '45.48923']}","July 1, 2021",0,Not Included,Yes,875,Yes,Not Included,Apartment,800,"{'ELECTRICITY': False, 'HEATING': True, 'WATER': True}",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/brand-newly-painted-semi-furnished-3-1-2-for-rent/1575947456
", quebec G1G 6k1 QC, Canada",1 Year,No,,Bathrooms: 1,Bedrooms: 2,,12/07/2021 11:51:28,No,"{'Type': 'Point', 'Coordinates': ['-71.29735', '46.89372']}","August 1, 2021",2,Not Included,Yes,875,No,Not Included,Apartment,700,"{'ELECTRICITY': False, 'HEATING': False, 'WATER': False}",https://www.kijiji.ca/v-appartement-condo/ville-de-quebec/condo-appartement-a-louer-3-5-et-4-5-charlesbourg-quebec/1575948614
"1200 boul. Pie-XI sud, Québec, QC, G3K 1J4",1 Year,Yes,,Bathrooms: 1,Bedrooms: 1,"Concierge,Bicycle Parking,Storage Space",12/07/2021 11:51:28,No,"{'Type': 'Point', 'Coordinates': ['-71.40456', '46.85126']}","July 1, 2022",1,Balcony,Yes,1050,No,,Apartment,900,"{'ELECTRICITY': False, 'HEATING': False, 'WATER': False}",https://www.kijiji.ca/v-appartement-condo/ville-de-quebec/nouveau-projet-a-val-belair/1562864843
"h4r1k4, Canada",1 Year,No,"Laundry (In Building),Fridge / Freezer",Bathrooms: 1,Bedrooms: 1 + Den,"Concierge,24 Hour Security,Bicycle Parking,Storage Space,Elevator in Building",12/07/2021 11:51:28,Yes,"{'Type': 'Point', 'Coordinates': ['-73.70238', '45.51981']}","July 12, 2021",0,Yard,No,1000,No,Not Included,Apartment,850,"{'ELECTRICITY': True, 'HEATING': True, 'WATER': True}",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/3-1-2-metro-cote-vertu-vsl-beton-tout-inclus/1575948096
"Avenue Bruce, Westmount, QC H3Z 2E1, Canada",1 Year,No,"Laundry (In Unit),Laundry (In Building),Dishwasher,Fridge / Freezer",Bathrooms: 1,Bedrooms: 2,,12/07/2021 11:51:28,No,"{'Type': 'Point', 'Coordinates': ['-73.58765', '45.48434']}","June 7, 2021",1,Balcony,Limited,2550,Outdoors only,Not Included,Townhouse,"1,250","{'ELECTRICITY': False, 'HEATING': False, 'WATER': False}",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/5-1-2-bedroom-westmount-atwater-downtown-appartement-renovated/1575948673
"H4R1K4, Canada",1 Year,No,"Laundry (In Building),Fridge / Freezer",Bathrooms: 1,Bedrooms: 2 + Den,"Concierge,24 Hour Security,Bicycle Parking,Storage Space,Elevator in Building",12/07/2021 11:51:28,Yes,"{'Type': 'Point', 'Coordinates': ['-73.70238', '45.51981']}","July 12, 2021",0,Yard,No,1300,No,Not Included,Apartment,"1,000","{'ELECTRICITY': True, 'HEATING': True, 'WATER': True}",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/4-1-2-metro-cote-vertu-tout-inclus-promotion/1575947951
"h4r1k4, Canada",1 Year,No,"Laundry (In Building),Fridge / Freezer",Bathrooms: 1,Bedrooms: 2 + Den,"Concierge,24 Hour Security,Bicycle Parking,Storage Space,Elevator in Building",12/07/2021 11:51:28,Yes,"{'Type': 'Point', 'Coordinates': ['-73.70238', '45.51981']}","July 12, 2021",0,Yard,No,1300,No,Not Included,Apartment,"1,000","{'ELECTRICITY': True, 'HEATING': True, 'WATER': True}",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/4-1-2-metro-cote-vertu-vsl-beton-tout-inclus/1575948212
"J7J2N2, Canada",1 Year,Yes,"Laundry (In Unit),Dishwasher",Bathrooms: 2,Bedrooms: 3,"Bicycle Parking,Storage Space,Elevator in Building",12/07/2021 11:51:28,No,"{'Type': 'Point', 'Coordinates': ['0.0', '0.0']}","August 1, 2021",0,Yard,Limited,1795,No,Not Included,Condo,"1,375","{'ELECTRICITY': False, 'HEATING': False, 'WATER': True}",https://www.kijiji.ca/v-appartement-condo/laval-rive-nord/condos-de-luxe-neuf-a-louer-5-avec-2-sdb-et-terrasse/1575947852
", H7N5A4, LAVAL, QC",1 Year,No,"Laundry (In Unit),Laundry (In Building),Fridge / Freezer",Bathrooms: 1,Bedrooms: 2,,12/07/2021 11:51:29,No,"{'Type': 'Point', 'Coordinates': ['-73.70085', '45.55763']}","August 1, 2021",0,Balcony,No,,No,Not Included,Apartment,1,"{'ELECTRICITY': False, 'HEATING': True, 'WATER': True}",https://www.kijiji.ca/v-appartement-condo/laval-rive-nord/4-1-2-apartment-for-rent-1st-august/1575949038
"7460 Ave. de Lorimier, Montréal, QC H2E 3A4, Canada",1 Year,No,,Bathrooms: 1,Bedrooms: 3,,12/07/2021 11:51:29,No,"{'Type': 'Point', 'Coordinates': ['-73.60953', '45.55207']}","July 26, 2021",1,Yard,Limited,1500,Outdoors only,Not Included,Apartment,"1,000","{'ELECTRICITY': False, 'HEATING': False, 'WATER': False}",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/grand-5-1-2-sur-de-lorimier/1575949787
